1	738343	không	adjective, adverb, conjunction, interjection, noun, numeral, particle
2	688451	là	conjunction, noun, particle, verb
3	675054	tôi	pronoun, verb
4	542427	có	adjective, adverb, interjection, noun, verb
5	542372	của	noun, preposition
6	533804	và	conjunction, determiner, verb
7	481101	anh	adjective, noun, pronoun, proper noun
8	419351	được	interjection, particle, verb
9	381420	đã	particle, verb
10	366277	một	adjective, adverb, noun, numeral
11	344820	cho	particle, preposition, verb
12	313264	sẽ	particle
13	313150	đó	noun, particle, pronoun
14	303538	các	determiner, proper noun, verb
15	300758	người	classifier, noun, pronoun, proper noun
16	298524	trong	adjective, preposition
17	290399	với	noun, particle, preposition, verb
18	281520	này	adverb, determiner, particle
19	278720	đi	adverb, particle, verb
20	265570	phải	adjective, particle, verb
21	249351	gì	interjection, pronoun
22	242685	những	determiner, particle
23	239656	ở	character, preposition, verb
24	227892	để	conjunction, verb
25	225925	cô	noun, pronoun
26	215436	làm	preposition, verb
27	209187	rồi	adjective, adverb, interjection, particle, verb
28	208634	ta	adjective, particle, pronoun
29	194471	đây	particle, pronoun
30	186087	em	adjective, noun, pronoun
31	183545	biết	verb
32	182845	ông	classifier, noun, pronoun
33	182443	đến	preposition, verb
34	180263	khi	adverb, pronoun, verb
35	179698	ra	noun, verb
36	178377	lại	adverb, proper noun, verb
37	172573	về	noun, preposition, verb
38	172177	nó	pronoun
39	160798	cũng	adverb
40	157383	con	classifier, noun, pronoun
41	155505	nhưng	conjunction
42	154899	nói	verb
43	151404	có thể	adverb
44	151239	vào	particle, preposition, verb
45	147477	mà	conjunction, particle
46	147296	đang	particle
47	145355	như	particle, proper noun
48	142626	cậu	noun, pronoun
49	134281	còn	adverb, verb
50	134105	thì	noun, particle
51	132589	cái	adjective, classifier, noun
52	130752	chúng ta	pronoun
53	129055	ấy	determiner, particle, pronoun
54	128697	chỉ	adverb, noun, pronoun, verb
55	126577	bạn	noun, pronoun
56	122987	nhiều	determiner
57	120373	từ	conjunction, noun, verb
58	112919	rất	adverb
59	111326	trên	adjective, preposition
60	110687	mình	adverb, noun, pronoun
61	110644	họ	adjective, noun
62	110401	năm	noun, numeral
63	102438	hơn	adjective, adverb
64	101990	bị	noun, verb
65	99393	vậy	adverb, particle
66	98817	thấy	verb
67	95980	nếu	conjunction
68	91724	thế	adverb, noun, verb
69	88966	cần	noun, proper noun, verb
70	88807	việc	noun
71	88304	đâu	adverb, particle
72	87007	nhà	adjective, noun
73	82221	tới	adjective, preposition, verb
74	81967	lên	adverb, verb
75	81844	sau	adjective, adverb, preposition
76	81224	thôi	interjection, noun, particle, verb
77	80691	ai	noun, pronoun
78	80686	cả	adjective, determiner, noun
79	79823	theo	preposition, verb
80	77715	nên	conjunction, verb
81	77476	chuyện	interjection, noun
82	76101	sự	prefix
83	74352	nghĩ	verb
84	74222	vì	classifier, conjunction, preposition
85	73796	nữa	adverb, interjection
86	73757	đấy	particle, pronoun
87	71927	hắn	pronoun
88	71853	điều	noun
89	71595	ngày	noun
90	71458	mới	adjective, adverb
91	70484	trước	adverb, preposition
92	69766	tại	conjunction, verb
93	68798	thứ	adjective, classifier, noun, prefix, verb
94	66432	khác	adjective
95	65501	nhất	adverb, interjection, numeral
96	65409	mọi	determiner, noun
97	65206	hay	adjective, adverb, conjunction
98	64157	chứ	particle
99	62812	hai	adjective, interjection, numeral
100	62628	vẫn	adverb
101	61734	thật	adjective, adverb
102	61557	tốt	adjective, noun, proper noun
103	59708	à	character, interjection, particle
104	56243	nghe	particle, verb
105	55185	qua	adjective, adverb, preposition, verb
106	54348	đúng	adjective
107	53146	tìm	verb
108	52839	hãy	adverb
109	52140	chúng	particle, pronoun
110	51958	rằng	conjunction, verb
111	51807	cùng	adjective, conjunction, noun
112	51571	lần	noun, preposition, verb
113	50563	quá	adverb, verb
114	50316	bà	noun, pronoun
115	49298	nước	noun
116	49147	cách	noun, particle, verb
117	48551	không thể	adjective, adverb
118	48463	đừng	verb
119	47090	tên	classifier, noun
120	46642	giờ	noun
121	46462	đưa	verb
122	45807	ngay	adjective, preposition
123	45736	mày	noun, pronoun
124	44341	giúp	verb
125	44321	tớ	pronoun
126	43900	nhìn	verb
127	43138	nhau	adverb, noun
128	43075	chết	adjective, adverb, interjection, verb
129	42768	lúc	noun
130	42395	xem	verb
131	42209	gặp	verb
132	41957	bằng	adjective, noun, preposition, verb
133	41823	tất cả	noun
134	40626	tin	noun, verb
135	40426	bên	adjective, noun, preposition
136	39296	lấy	verb
137	38732	đều	adjective, adverb
138	38538	cháu	noun, pronoun
139	38350	gọi	verb
140	37633	cao	adjective, noun, proper noun
141	37441	chính	adjective, adverb
142	37320	tao	pronoun
143	36935	nơi	noun, pronoun
144	36610	do	preposition
145	36587	thời gian	noun
146	36579	từng	adverb, noun, pronoun
147	36449	đường	noun
148	35490	lớn	adjective, verb
149	35189	tháng	noun
150	35166	tiền	noun, prefix
151	34641	lắm	adverb, determiner
152	34627	sống	adjective, noun, verb
153	34591	dùng	noun, verb
154	34562	hoặc	conjunction
155	34318	xe	noun, verb
156	34314	ăn	verb
157	33878	bố	noun, pronoun
158	33877	hết	adverb, interjection, proper noun, verb
159	33793	đầu	adjective, noun
160	33477	ngoài	adjective, adverb, preposition
161	33454	chị	noun, pronoun
162	33431	hiểu	verb
163	33411	số	adjective, noun
164	32870	việt nam	proper noun
165	32463	hàng	adjective, noun, proper noun, verb
166	32416	thích	noun, proper noun, verb
167	32356	mất	particle, verb
168	32267	luôn	adverb
169	32159	thêm	adjective, conjunction, verb
170	31819	bộ	adverb, noun, particle
171	31803	bé	adjective, noun, pronoun
172	31742	giết	verb
173	30752	khỏi	adverb, verb
174	30621	xin	verb
175	30441	sử dụng	verb
176	30198	mang	noun, verb
177	30049	tay	noun
178	29658	phòng	noun, verb
179	28943	học	suffix, verb
180	28935	trường	adjective, noun, proper noun
181	28930	xin lỗi	interjection, verb
182	28880	vừa	adjective, adverb, conjunction, verb
183	28826	gần	adjective, adverb
184	28620	mỗi	determiner
185	28446	xuống	adverb, verb
186	28445	chiếc	classifier
187	28389	ngài	noun, pronoun
188	28389	cứ	adverb, noun, particle
